Dbg: 18939664 - 3856 | 560 496 132019-02-25T15:46:35;
Connected: COM2019-02-25T15:46:37;
Sending: p491.893532018692019-02-25T15:51:42;
Sending: p477.289095799762019-02-25T15:51:43;
Sending: p510.107460693562019-02-25T15:51:44;
Sending: p507.584073801172019-02-25T15:51:45;
Sending: p509.444531389982019-02-25T15:51:46;
Sending: p513.070452099052019-02-25T15:51:47;
Sending: p488.391692252622019-02-25T15:51:48;
Sending: p526.634191896682019-02-25T15:51:49;
Sending: p510.649297731122019-02-25T15:51:50;
Sending: p494.148098448462019-02-25T15:51:51;
Sending: p520.909221248712019-02-25T15:51:52;
Sending: p542.256840461822019-02-25T15:51:53;
Sending: p507.403581727752019-02-25T15:51:54;
Sending: p481.872716659722019-02-25T15:51:55;
Sending: p507.045229950232019-02-25T15:51:56;
Sending: p505.970225697362019-02-25T15:51:57;
Sending: p521.837793933792019-02-25T15:51:59;
Sending: p520.724437370012019-02-25T15:52:00;
Sending: p536.709342269142019-02-25T15:52:01;
Sending: p564.742106188682019-02-25T15:52:02;
Sending: p533.58021696712019-02-25T15:52:03;
Sending: p517.830399497622019-02-25T15:52:04;
Sending: p500.163533840482019-02-25T15:52:05;
Sending: p524.073566654462019-02-25T15:52:06;
Sending: p519.799130835352019-02-25T15:52:07;
Sending: p552.031894476392019-02-25T15:52:08;
Sending: p564.877682566142019-02-25T15:52:09;
Sending: p569.470164938072019-02-25T15:52:10;
Sending: p541.154232016222019-02-25T15:52:11;
Sending: p530.47283201682019-02-25T15:52:12;
Sending: p539.281307091832019-02-25T15:52:13;
Sending: p550.840157765442019-02-25T15:52:14;
Sending: p535.556720055942019-02-25T15:52:15;
Sending: p569.056579924312019-02-25T15:52:16;
Sending: p510.770834637212019-02-25T15:52:17;
Sending: p531.548453183442019-02-25T15:52:18;
Sending: p575.361003511642019-02-25T15:52:19;
Sending: p536.836919856662019-02-25T15:52:20;
Sending: p542.450561515332019-02-25T15:52:22;
Sending: p608.998707349552019-02-25T15:52:23;
Sending: p595.803504165092019-02-25T15:52:24;
Sending: p593.046283865292019-02-25T15:52:25;
Sending: p590.449368611682019-02-25T15:52:26;
Sending: p579.211169676772019-02-25T15:52:27;
Sending: p594.278454920832019-02-25T15:52:28;
Sending: p606.837267299762019-02-25T15:52:29;
Sending: p557.637574977452019-02-25T15:52:30;
Sending: p599.454225141792019-02-25T15:52:31;
Sending: p564.878217026072019-02-25T15:52:32;
Sending: p562.497086816632019-02-25T15:52:33;
Sending: p603.574545727442019-02-25T15:52:34;
Sending: p570.84880299222019-02-25T15:52:35;
Sending: p603.722935071382019-02-25T15:52:36;
Sending: p600.775731339902019-02-25T15:52:37;
Sending: p605.945620637762019-02-25T15:52:38;
Sending: p611.54532108412019-02-25T15:52:39;
Sending: p602.984567183362019-02-25T15:52:40;
Sending: p612.296692243912019-02-25T15:52:41;
Sending: p590.376998304472019-02-25T15:52:43;
Sending: p591.097548807022019-02-25T15:52:44;
Sending: p618.196200879532019-02-25T15:52:45;
Sending: p615.692162522922019-02-25T15:52:46;
Sending: p625.78264503302019-02-25T15:52:47;
Sending: p630.669382828582019-02-25T15:52:48;
Sending: p594.423520653712019-02-25T15:52:49;
Sending: p606.391030373962019-02-25T15:52:50;
Sending: p616.981243820872019-02-25T15:52:51;
Sending: p597.041345135582019-02-25T15:52:52;
Sending: p615.767283652132019-02-25T15:52:53;
Sending: p644.568248466492019-02-25T15:52:54;
